River	Reach	Date	Group	Veg	Coverage
CR	LNC	10-2015	A	Cabomba	3046
CR	LNC	04-2016	A	Cabomba	1889
CR	LNC	10-2016	A	Cabomba	1650
CR	LNC	04-2017	A	Cabomba	893
CR	LNC	10-2017	A	Cabomba	1665
CR	LNC	04-2018	A	Cabomba	1056
CR	LNC	10-2018	A	Cabomba	2004
CR	LNC	04-2019	A	Cabomba	1509
CR	LNC	10-2019	A	Cabomba	1679
CR	LNC	04-2020	A	Cabomba	1816
CR	LNC	10-2020	A	Cabomba	2236
CR	LNC	04-2021	A	Cabomba	1883
CR	LNC	10-2021	A	Cabomba	2018
CR	LNC	04-2013	A	Hygrophila	960
CR	LNC	10-2013	A	Hygrophila	758
CR	LNC	04-2014	A	Hygrophila	986
CR	LNC	10-2014	A	Hygrophila	306
CR	LNC	04-2015	A	Hygrophila	280
CR	LNC	10-2015	A	Hygrophila	496
CR	LNC	04-2016	A	Hygrophila	489
CR	LNC	10-2016	A	Hygrophila	395
CR	LNC	04-2017	A	Hygrophila	330
CR	LNC	10-2017	A	Hygrophila	558
CR	LNC	04-2018	A	Hygrophila	575
CR	LNC	10-2018	A	Hygrophila	575
CR	LNC	04-2019	A	Hygrophila	594
CR	LNC	10-2019	A	Hygrophila	535
CR	LNC	04-2020	A	Hygrophila	499
CR	LNC	10-2020	A	Hygrophila	773
CR	LNC	04-2021	A	Hygrophila	633
CR	LNC	10-2021	A	Hygrophila	493
CR	LNC	04-2013	A	Ludwigia	0
CR	LNC	10-2013	A	Ludwigia	0
CR	LNC	04-2014	A	Ludwigia	0
CR	LNC	10-2014	A	Ludwigia	0
CR	LNC	04-2015	A	Ludwigia	0
CR	LNC	10-2015	A	Ludwigia	0
CR	LNC	04-2016	A	Ludwigia	0
CR	LNC	10-2016	A	Ludwigia	0
CR	LNC	04-2017	A	Ludwigia	0
CR	LNC	10-2017	A	Ludwigia	0
CR	LNC	04-2018	A	Ludwigia	0
CR	LNC	10-2018	A	Ludwigia	0
CR	LNC	04-2019	A	Ludwigia	0
CR	LNC	10-2019	A	Ludwigia	3
CR	LNC	04-2020	A	Ludwigia	0
CR	LNC	10-2020	A	Ludwigia	0
CR	LNC	04-2021	A	Ludwigia	0
CR	LNC	10-2021	A	Ludwigia	0
CR	LNC	04-2013	A	Other	0
CR	LNC	10-2013	A	Other	0
CR	LNC	04-2014	A	Other	0
CR	LNC	10-2014	A	Other	0
CR	LNC	04-2015	A	Other	0
CR	LNC	10-2015	A	Other	0
CR	LNC	04-2016	A	Other	0
CR	LNC	10-2016	A	Other	0
CR	LNC	04-2017	A	Other	0
CR	LNC	10-2017	A	Other	0
CR	LNC	04-2018	A	Other	0
CR	LNC	10-2018	A	Other	0
CR	LNC	04-2019	A	Other	0
CR	LNC	10-2019	A	Other	0
CR	LNC	04-2020	A	Other	0
CR	LNC	10-2020	A	Other	0
CR	LNC	04-2021	A	Other	0
CR	LNC	10-2021	A	Other	0
CR	LNC	04-2013	A	Sagittaria	0
CR	LNC	10-2013	A	Sagittaria	0
CR	LNC	04-2014	A	Sagittaria	0
CR	LNC	10-2014	A	Sagittaria	0
CR	LNC	04-2015	A	Sagittaria	0
CR	LNC	10-2015	A	Sagittaria	0
CR	LNC	04-2016	A	Sagittaria	0
CR	LNC	10-2016	A	Sagittaria	0
CR	LNC	04-2017	A	Sagittaria	0
CR	LNC	10-2017	A	Sagittaria	1
CR	LNC	04-2018	A	Sagittaria	6
CR	LNC	10-2018	A	Sagittaria	0
CR	LNC	04-2019	A	Sagittaria	0
CR	LNC	10-2019	A	Sagittaria	4
CR	LNC	04-2020	A	Sagittaria	0
CR	LNC	10-2020	A	Sagittaria	0
CR	LNC	04-2021	A	Sagittaria	35
CR	LNC	10-2021	A	Sagittaria	0
CR	LNC	04-2013	A	Vallisneria	0
CR	LNC	10-2013	A	Vallisneria	0
CR	LNC	04-2014	A	Vallisneria	0
CR	LNC	10-2014	A	Vallisneria	0
CR	LNC	04-2015	A	Vallisneria	0
CR	LNC	10-2015	A	Vallisneria	0
CR	LNC	04-2016	A	Vallisneria	0
CR	LNC	10-2016	A	Vallisneria	0
CR	LNC	04-2017	A	Vallisneria	0
CR	LNC	10-2017	A	Vallisneria	0
CR	LNC	04-2018	A	Vallisneria	0
CR	LNC	10-2018	A	Vallisneria	0
CR	LNC	04-2019	A	Vallisneria	0
CR	LNC	10-2019	A	Vallisneria	0
CR	LNC	04-2020	A	Vallisneria	0
CR	LNC	10-2020	A	Vallisneria	0
CR	LNC	04-2021	A	Vallisneria	0
CR	LNC	10-2021	A	Vallisneria	0
CR	LNC	LTBG	A	Algae	0
CR	LNC	LTBG	A	Bryophyte	150
CR	LNC	LTBG	A	Cabomba	2500
CR	LNC	LTBG	A	Hygrophila	0
CR	LNC	LTBG	A	Ludwigia	100
CR	LNC	LTBG	A	Other	0
CR	LNC	LTBG	A	Potamogeton	0
CR	LNC	LTBG	A	Sagittaria	0
CR	LNC	LTBG	A	Vallisneria	0
SMR	SLD	04-2013	A	Bryophyte	53
SMR	SLD	10-2013	A	Bryophyte	0
SMR	SLD	04-2014	A	Bryophyte	0
SMR	SLD	10-2014	A	Bryophyte	0
SMR	SLD	04-2015	A	Bryophyte	0
SMR	SLD	10-2015	A	Bryophyte	0
SMR	SLD	04-2016	A	Bryophyte	0
SMR	SLD	10-2016	A	Bryophyte	0
SMR	SLD	04-2017	A	Bryophyte	0
SMR	SLD	10-2017	A	Bryophyte	0
SMR	SLD	04-2018	A	Bryophyte	0
SMR	SLD	10-2018	A	Bryophyte	0
SMR	SLD	04-2019	A	Bryophyte	19
SMR	SLD	10-2019	A	Bryophyte	0
SMR	SLD	04-2020	A	Bryophyte	0
SMR	SLD	10-2020	A	Bryophyte	0
SMR	SLD	04-2021	A	Bryophyte	0
SMR	SLD	10-2021	A	Bryophyte	0
SMR	SLD	04-2013	A	Cabomba	0
SMR	SLD	10-2013	A	Cabomba	0
SMR	SLD	04-2014	A	Cabomba	0
SMR	SLD	10-2014	A	Cabomba	0
SMR	SLD	04-2015	A	Cabomba	3
SMR	SLD	10-2015	A	Cabomba	0
SMR	SLD	04-2016	A	Cabomba	0
SMR	SLD	10-2016	A	Cabomba	2
SMR	SLD	04-2017	A	Cabomba	0
SMR	SLD	10-2017	A	Cabomba	0
SMR	SLD	04-2018	A	Cabomba	0
SMR	SLD	10-2018	A	Cabomba	2
SMR	SLD	04-2019	A	Cabomba	4
SMR	SLD	10-2019	A	Cabomba	4
SMR	SLD	04-2020	A	Cabomba	0
SMR	SLD	10-2020	A	Cabomba	11
SMR	SLD	04-2021	A	Cabomba	5
SMR	SLD	10-2021	A	Cabomba	0
SMR	SLD	04-2013	A	Hydrilla	835
SMR	SLD	10-2013	A	Hydrilla	208
SMR	SLD	04-2014	A	Hydrilla	151
SMR	SLD	10-2014	A	Hydrilla	124
SMR	SLD	04-2015	A	Hydrilla	194
SMR	SLD	10-2015	A	Hydrilla	30
SMR	SLD	04-2016	A	Hydrilla	14
SMR	SLD	10-2016	A	Hydrilla	0
SMR	SLD	04-2017	A	Hydrilla	3
SMR	SLD	10-2017	A	Hydrilla	4
SMR	SLD	04-2018	A	Hydrilla	0
SMR	SLD	10-2018	A	Hydrilla	0
SMR	SLD	04-2019	A	Hydrilla	0
SMR	SLD	10-2019	A	Hydrilla	0
SMR	SLD	04-2020	A	Hydrilla	0
SMR	SLD	10-2020	A	Hydrilla	0
SMR	SLD	04-2021	A	Hydrilla	0
SMR	SLD	10-2021	A	Hydrilla	0
SMR	SLD	04-2013	A	Hydrocotyle	22
SMR	SLD	10-2013	A	Hydrocotyle	174
SMR	SLD	04-2014	A	Hydrocotyle	83
SMR	SLD	10-2014	A	Hydrocotyle	73
SMR	SLD	04-2015	A	Hydrocotyle	81
SMR	SLD	10-2015	A	Hydrocotyle	28
SMR	SLD	04-2016	A	Hydrocotyle	60
SMR	SLD	10-2016	A	Hydrocotyle	22
SMR	SLD	04-2017	A	Hydrocotyle	67
SMR	SLD	10-2017	A	Hydrocotyle	53
SMR	SLD	04-2018	A	Hydrocotyle	136
SMR	SLD	10-2018	A	Hydrocotyle	53
SMR	SLD	04-2019	A	Hydrocotyle	129
SMR	SLD	10-2019	A	Hydrocotyle	111
SMR	SLD	04-2020	A	Hydrocotyle	135
SMR	SLD	10-2020	A	Hydrocotyle	87
SMR	SLD	04-2021	A	Hydrocotyle	203
SMR	SLD	10-2021	A	Hydrocotyle	118
SMR	SLD	04-2013	A	Hygrophila	85
SMR	SLD	10-2013	A	Hygrophila	59
SMR	SLD	04-2014	A	Hygrophila	77
SMR	SLD	10-2014	A	Hygrophila	39
SMR	SLD	04-2015	A	Hygrophila	62
SMR	SLD	10-2015	A	Hygrophila	58
SMR	SLD	04-2016	A	Hygrophila	54
SMR	SLD	10-2016	A	Hygrophila	47
SMR	SLD	04-2017	A	Hygrophila	53
SMR	SLD	10-2017	A	Hygrophila	58
SMR	SLD	04-2018	A	Hygrophila	24
SMR	SLD	10-2018	A	Hygrophila	40
SMR	SLD	04-2019	A	Hygrophila	55
SMR	SLD	10-2019	A	Hygrophila	19
SMR	SLD	04-2020	A	Hygrophila	41
SMR	SLD	10-2020	A	Hygrophila	0
SMR	SLD	04-2021	A	Hygrophila	0
SMR	SLD	10-2021	A	Hygrophila	0
SMR	SLD	04-2013	A	Ludwigia	0
SMR	SLD	10-2013	A	Ludwigia	0
SMR	SLD	04-2014	A	Ludwigia	1
SMR	SLD	10-2014	A	Ludwigia	0
SMR	SLD	04-2015	A	Ludwigia	0
SMR	SLD	10-2015	A	Ludwigia	1
SMR	SLD	04-2016	A	Ludwigia	0
SMR	SLD	10-2016	A	Ludwigia	0
SMR	SLD	04-2017	A	Ludwigia	0
SMR	SLD	10-2017	A	Ludwigia	6
SMR	SLD	04-2018	A	Ludwigia	20
SMR	SLD	10-2018	A	Ludwigia	22
SMR	SLD	04-2019	A	Ludwigia	10
SMR	SLD	10-2019	A	Ludwigia	5
SMR	SLD	04-2020	A	Ludwigia	6
SMR	SLD	10-2020	A	Ludwigia	9
SMR	SLD	04-2021	A	Ludwigia	12
SMR	SLD	10-2021	A	Ludwigia	10
SMR	SLD	04-2013	A	Other	143
SMR	SLD	10-2013	A	Other	100
SMR	SLD	04-2014	A	Other	151
SMR	SLD	10-2014	A	Other	38
SMR	SLD	04-2015	A	Other	63
SMR	SLD	10-2015	A	Other	3
SMR	SLD	04-2016	A	Other	2
SMR	SLD	10-2016	A	Other	10
SMR	SLD	04-2017	A	Other	30
SMR	SLD	10-2017	A	Other	0
SMR	SLD	04-2018	A	Other	7
SMR	SLD	10-2018	A	Other	10
SMR	SLD	04-2019	A	Other	8
SMR	SLD	10-2019	A	Other	11
SMR	SLD	04-2020	A	Other	0
SMR	SLD	10-2020	A	Other	3
MR	SLD	04-2021	A	Other	8
SMR	SLD	10-2021	A	Other	5
SMR	SLD	04-2013	A	Potamogeton	281
SMR	SLD	10-2013	A	Potamogeton	188
SMR	SLD	04-2014	A	Potamogeton	180
SMR	SLD	10-2014	A	Potamogeton	92
SMR	SLD	04-2015	A	Potamogeton	107
SMR	SLD	10-2015	A	Potamogeton	6
SMR	SLD	04-2016	A	Potamogeton	45
SMR	SLD	10-2016	A	Potamogeton	110
SMR	SLD	04-2017	A	Potamogeton	148
SMR	SLD	10-2017	A	Potamogeton	208
SMR	SLD	04-2018	A	Potamogeton	200
SMR	SLD	10-2018	A	Potamogeton	148
SMR	SLD	04-2019	A	Potamogeton	131
SMR	SLD	10-2019	A	Potamogeton	92
SMR	SLD	04-2020	A	Potamogeton	73
SMR	SLD	10-2020	A	Potamogeton	104
SMR	SLD	04-2021	A	Potamogeton	117
SMR	SLD	10-2021	A	Potamogeton	70
SMR	SLD	04-2013	A	Sagittaria	60
SMR	SLD	10-2013	A	Sagittaria	33
SMR	SLD	04-2014	A	Sagittaria	60
SMR	SLD	10-2014	A	Sagittaria	40
SMR	SLD	04-2015	A	Sagittaria	12
SMR	SLD	10-2015	A	Sagittaria	21
SMR	SLD	04-2016	A	Sagittaria	10
SMR	SLD	10-2016	A	Sagittaria	8
SMR	SLD	04-2017	A	Sagittaria	12
SMR	SLD	10-2017	A	Sagittaria	11
SMR	SLD	04-2018	A	Sagittaria	14
SMR	SLD	10-2018	A	Sagittaria	22
SMR	SLD	04-2019	A	Sagittaria	29
SMR	SLD	10-2019	A	Sagittaria	21
SMR	SLD	04-2020	A	Sagittaria	54
SMR	SLD	10-2020	A	Sagittaria	40
SMR	SLD	04-2021	A	Sagittaria	39
SMR	SLD	10-2021	A	Sagittaria	7
SMR	SLD	04-2013	A	TWR	637
SMR	SLD	10-2013	A	TWR	520
SMR	SLD	04-2014	A	TWR	495
SMR	SLD	10-2014	A	TWR	505
SMR	SLD	04-2015	A	TWR	748
SMR	SLD	10-2015	A	TWR	656
SMR	SLD	04-2016	A	TWR	848
SMR	SLD	10-2016	A	TWR	817
SMR	SLD	04-2017	A	TWR	1053
SMR	SLD	10-2017	A	TWR	1033
SMR	SLD	04-2018	A	TWR	1152
SMR	SLD	10-2018	A	TWR	1090
SMR	SLD	04-2019	A	TWR	1415
SMR	SLD	10-2019	A	TWR	1427
SMR	SLD	04-2020	A	TWR	1509
SMR	SLD	10-2020	A	TWR	1496
SMR	SLD	04-2021	A	TWR	1693
SMR	SLD	10-2021	A	TWR	1372
SMR	SLD	LTBG	A	Bryophyte	0
SMR	SLD	LTBG	A	Cabomba	50
SMR	SLD	LTBG	A	Hydrilla	0
SMR	SLD	LTBG	A	Hydrocotyle	50
SMR	SLD	LTBG	A	Hygrophila	0
SMR	SLD	LTBG	A	Ludwigia	100
SMR	SLD	LTBG	A	Potamogeton	200
SMR	SLD	LTBG	A	Sagittaria	200
SMR	SLD	LTBG	A	TWR	700
SMR	CP	04-2013	A	Bryophyte	0
SMR	CP	10-2013	A	Bryophyte	0
SMR	CP	04-2014	A	Bryophyte	0
SMR	CP	10-2014	A	Bryophyte	0
SMR	CP	04-2015	A	Bryophyte	0
SMR	CP	10-2015	A	Bryophyte	0
SMR	CP	04-2016	A	Bryophyte	0
SMR	CP	10-2016	A	Bryophyte	0
SMR	CP	04-2017	A	Bryophyte	0
SMR	CP	10-2017	A	Bryophyte	0
SMR	CP	04-2018	A	Bryophyte	0
SMR	CP	10-2018	A	Bryophyte	0
SMR	CP	04-2019	A	Bryophyte	0
SMR	CP	10-2019	A	Bryophyte	0
SMR	CP	04-2020	A	Bryophyte	0
SMR	CP	10-2020	A	Bryophyte	0
SMR	CP	04-2021	A	Bryophyte	0
SMR	CP	10-2021	A	Bryophyte	0
SMR	CP	04-2013	A	Cabomba	0
SMR	CP	10-2013	A	Cabomba	24
SMR	CP	04-2014	A	Cabomba	0
SMR	CP	10-2014	A	Cabomba	0
SMR	CP	04-2015	A	Cabomba	0
SMR	CP	10-2015	A	Cabomba	0
SMR	CP	04-2016	A	Cabomba	0
SMR	CP	10-2016	A	Cabomba	0
SMR	CP	04-2017	A	Cabomba	0
SMR	CP	10-2017	A	Cabomba	3
SMR	CP	04-2018	A	Cabomba	2
SMR	CP	10-2018	A	Cabomba	50
SMR	CP	04-2019	A	Cabomba	41
SMR	CP	10-2019	A	Cabomba	55
SMR	CP	04-2020	A	Cabomba	9
SMR	CP	10-2020	A	Cabomba	27
SMR	CP	04-2021	A	Cabomba	22
SMR	CP	10-2021	A	Cabomba	70
SMR	CP	04-2013	A	Hydrilla	3200
SMR	CP	10-2013	A	Hydrilla	1589
SMR	CP	04-2014	A	Hydrilla	1748
SMR	CP	10-2014	A	Hydrilla	998
SMR	CP	04-2015	A	Hydrilla	1098
SMR	CP	10-2015	A	Hydrilla	751
SMR	CP	04-2016	A	Hydrilla	748
SMR	CP	10-2016	A	Hydrilla	503
SMR	CP	04-2017	A	Hydrilla	919
SMR	CP	10-2017	A	Hydrilla	503
SMR	CP	04-2018	A	Hydrilla	390
SMR	CP	10-2018	A	Hydrilla	102
SMR	CP	04-2019	A	Hydrilla	214
SMR	CP	10-2019	A	Hydrilla	0
SMR	CP	04-2020	A	Hydrilla	1
SMR	CP	10-2020	A	Hydrilla	0
SMR	CP	04-2021	A	Hydrilla	0
SMR	CP	10-2021	A	Hydrilla	0
SMR	CP	04-2013	A	Hydrocotyle	0
SMR	CP	10-2013	A	Hydrocotyle	0
SMR	CP	04-2014	A	Hydrocotyle	0
SMR	CP	10-2014	A	Hydrocotyle	0
SMR	CP	04-2015	A	Hydrocotyle	0
SMR	CP	10-2015	A	Hydrocotyle	0
SMR	CP	04-2016	A	Hydrocotyle	14
SMR	CP	10-2016	A	Hydrocotyle	0
SMR	CP	04-2017	A	Hydrocotyle	2
SMR	CP	10-2017	A	Hydrocotyle	0
SMR	CP	04-2018	A	Hydrocotyle	1
SMR	CP	10-2018	A	Hydrocotyle	0
SMR	CP	04-2019	A	Hydrocotyle	0
SMR	CP	10-2019	A	Hydrocotyle	0
SMR	CP	04-2020	A	Hydrocotyle	4
SMR	CP	10-2020	A	Hydrocotyle	0
SMR	CP	04-2021	A	Hydrocotyle	6
SMR	CP	10-2021	A	Hydrocotyle	0
SMR	CP	04-2013	A	Hygrophila	1217
SMR	CP	10-2013	A	Hygrophila	1346
SMR	CP	04-2014	A	Hygrophila	507
SMR	CP	10-2014	A	Hygrophila	573
SMR	CP	04-2015	A	Hygrophila	640
SMR	CP	10-2015	A	Hygrophila	295
SMR	CP	04-2016	A	Hygrophila	679
SMR	CP	10-2016	A	Hygrophila	264
SMR	CP	04-2017	A	Hygrophila	228
SMR	CP	10-2017	A	Hygrophila	264
SMR	CP	04-2018	A	Hygrophila	254
SMR	CP	10-2018	A	Hygrophila	288
SMR	CP	04-2019	A	Hygrophila	335
SMR	CP	10-2019	A	Hygrophila	477
SMR	CP	04-2020	A	Hygrophila	532
SMR	CP	10-2020	A	Hygrophila	426
SMR	CP	04-2021	A	Hygrophila	144
SMR	CP	10-2021	A	Hygrophila	0
SMR	CP	04-2013	A	Ludwigia	0
SMR	CP	10-2013	A	Ludwigia	0
SMR	CP	04-2014	A	Ludwigia	7
SMR	CP	10-2014	A	Ludwigia	10
SMR	CP	04-2015	A	Ludwigia	5
SMR	CP	10-2015	A	Ludwigia	2
SMR	CP	04-2016	A	Ludwigia	5
SMR	CP	10-2016	A	Ludwigia	1
SMR	CP	04-2017	A	Ludwigia	3
SMR	CP	10-2017	A	Ludwigia	1
SMR	CP	04-2018	A	Ludwigia	58
SMR	CP	10-2018	A	Ludwigia	79
SMR	CP	04-2019	A	Ludwigia	94
SMR	CP	10-2019	A	Ludwigia	33
SMR	CP	04-2020	A	Ludwigia	21
SMR	CP	10-2020	A	Ludwigia	8
SMR	CP	04-2021	A	Ludwigia	7
SMR	CP	10-2021	A	Ludwigia	11
SMR	CP	04-2013	A	Other	6
SMR	CP	10-2013	A	Other	70
SMR	CP	04-2014	A	Other	28
SMR	CP	10-2014	A	Other	98
SMR	CP	04-2015	A	Other	64
SMR	CP	10-2015	A	Other	18
SMR	CP	04-2016	A	Other	11
SMR	CP	10-2016	A	Other	0
SMR	CP	04-2017	A	Other	1
SMR	CP	10-2017	A	Other	3
SMR	CP	04-2018	A	Other	11
SMR	CP	10-2018	A	Other	204
SMR	CP	04-2019	A	Other	35
SMR	CP	10-2019	A	Other	22
SMR	CP	04-2020	A	Other	27
SMR	CP	10-2020	A	Other	18
SMR	CP	04-2021	A	Other	13
SMR	CP	10-2021	A	Other	39
SMR	CP	04-2013	A	Potamogeton	160
SMR	CP	10-2013	A	Potamogeton	105
SMR	CP	04-2014	A	Potamogeton	159
SMR	CP	10-2014	A	Potamogeton	59
SMR	CP	04-2015	A	Potamogeton	107
SMR	CP	10-2015	A	Potamogeton	59
SMR	CP	04-2016	A	Potamogeton	151
SMR	CP	10-2016	A	Potamogeton	133
SMR	CP	04-2017	A	Potamogeton	164
SMR	CP	10-2017	A	Potamogeton	133
SMR	CP	04-2018	A	Potamogeton	177
SMR	CP	10-2018	A	Potamogeton	203
SMR	CP	04-2019	A	Potamogeton	382
SMR	CP	10-2019	A	Potamogeton	366
SMR	CP	04-2020	A	Potamogeton	162
SMR	CP	10-2020	A	Potamogeton	220
SMR	CP	04-2021	A	Potamogeton	120
SMR	CP	10-2021	A	Potamogeton	130
SMR	CP	04-2013	A	Sagittaria	90
SMR	CP	10-2013	A	Sagittaria	205
SMR	CP	04-2014	A	Sagittaria	123
SMR	CP	10-2014	A	Sagittaria	109
SMR	CP	04-2015	A	Sagittaria	129
SMR	CP	10-2015	A	Sagittaria	129
SMR	CP	04-2016	A	Sagittaria	135
SMR	CP	10-2016	A	Sagittaria	113
SMR	CP	04-2017	A	Sagittaria	146
SMR	CP	10-2017	A	Sagittaria	113
SMR	CP	04-2018	A	Sagittaria	162
SMR	CP	10-2018	A	Sagittaria	107
SMR	CP	04-2019	A	Sagittaria	46
SMR	CP	10-2019	A	Sagittaria	50
SMR	CP	04-2020	A	Sagittaria	19
SMR	CP	10-2020	A	Sagittaria	0
SMR	CP	04-2021	A	Sagittaria	47
SMR	CP	10-2021	A	Sagittaria	7
SMR	CP	04-2013	A	TWR	400
SMR	CP	10-2013	A	TWR	361
SMR	CP	04-2014	A	TWR	552
SMR	CP	10-2014	A	TWR	818
SMR	CP	04-2015	A	TWR	1345
SMR	CP	10-2015	A	TWR	1449
SMR	CP	04-2016	A	TWR	1603
SMR	CP	10-2016	A	TWR	1562
SMR	CP	04-2017	A	TWR	2218
SMR	CP	10-2017	A	TWR	1783
SMR	CP	04-2018	A	TWR	1969
SMR	CP	10-2018	A	TWR	1362
SMR	CP	04-2019	A	TWR	1924
SMR	CP	10-2019	A	TWR	1775
SMR	CP	04-2020	A	TWR	2947
SMR	CP	10-2020	A	TWR	2677
SMR	CP	04-2021	A	TWR	3794
SMR	CP	10-2021	A	TWR	2015
SMR	CP	LTBG	A	Bryophyte	0
SMR	CP	LTBG	A	Cabomba	90
SMR	CP	LTBG	A	Hydrilla	0
SMR	CP	LTBG	A	Hydrocotyle	10
SMR	CP	LTBG	A	Hygrophila	0
SMR	CP	LTBG	A	Ludwigia	150
SMR	CP	LTBG	A	Other	0
SMR	CP	LTBG	A	Potamogeton	1450
SMR	CP	LTBG	A	Sagittaria	300
SMR	CP	LTBG	A	TWR	1750
SMR	I35	04-2013	A	Bryophyte	61
SMR	I35	10-2013	A	Bryophyte	29
SMR	I35	04-2014	A	Bryophyte	0
SMR	I35	10-2014	A	Bryophyte	2
SMR	I35	04-2015	A	Bryophyte	5
SMR	I35	10-2015	A	Bryophyte	16
SMR	I35	04-2016	A	Bryophyte	0
SMR	I35	10-2016	A	Bryophyte	0
SMR	I35	04-2017	A	Bryophyte	0
SMR	I35	10-2017	A	Bryophyte	0
SMR	I35	04-2018	A	Bryophyte	0
SMR	I35	10-2018	A	Bryophyte	0
SMR	I35	04-2019	A	Bryophyte	14
SMR	I35	10-2019	A	Bryophyte	14
SMR	I35	04-2020	A	Bryophyte	10
SMR	I35	10-2020	A	Bryophyte	0
SMR	I35	04-2021	A	Bryophyte	156
SMR	I35	10-2021	A	Bryophyte	0
SMR	I35	04-2013	A	Cabomba	153
SMR	I35	10-2013	A	Cabomba	0
SMR	I35	04-2014	A	Cabomba	134
SMR	I35	10-2014	A	Cabomba	225
SMR	I35	04-2015	A	Cabomba	162
SMR	I35	10-2015	A	Cabomba	252
SMR	I35	04-2016	A	Cabomba	105
SMR	I35	10-2016	A	Cabomba	28
SMR	I35	04-2017	A	Cabomba	50
SMR	I35	10-2017	A	Cabomba	101
SMR	I35	04-2018	A	Cabomba	86
SMR	I35	10-2018	A	Cabomba	73
SMR	I35	04-2019	A	Cabomba	54
SMR	I35	10-2019	A	Cabomba	100
SMR	I35	04-2020	A	Cabomba	90
SMR	I35	10-2020	A	Cabomba	118
SMR	I35	04-2021	A	Cabomba	83
SMR	I35	10-2021	A	Cabomba	143
SMR	I35	04-2013	A	Hydrilla	137
SMR	I35	10-2013	A	Hydrilla	114
SMR	I35	04-2014	A	Hydrilla	296
SMR	I35	10-2014	A	Hydrilla	160
SMR	I35	04-2015	A	Hydrilla	782
SMR	I35	10-2015	A	Hydrilla	181
SMR	I35	04-2016	A	Hydrilla	35
SMR	I35	10-2016	A	Hydrilla	28
SMR	I35	04-2017	A	Hydrilla	58
SMR	I35	10-2017	A	Hydrilla	26
SMR	I35	04-2018	A	Hydrilla	58
SMR	I35	10-2018	A	Hydrilla	10
SMR	I35	04-2019	A	Hydrilla	181
SMR	I35	10-2019	A	Hydrilla	45
SMR	I35	04-2020	A	Hydrilla	169
SMR	I35	10-2020	A	Hydrilla	38
SMR	I35	04-2021	A	Hydrilla	112
SMR	I35	10-2021	A	Hydrilla	39
SMR	I35	04-2013	A	Hydrocotyle	0
SMR	I35	10-2013	A	Hydrocotyle	0
SMR	I35	04-2014	A	Hydrocotyle	0
SMR	I35	10-2014	A	Hydrocotyle	0
SMR	I35	04-2015	A	Hydrocotyle	0
SMR	I35	10-2015	A	Hydrocotyle	0
SMR	I35	04-2016	A	Hydrocotyle	1
SMR	I35	10-2016	A	Hydrocotyle	14
SMR	I35	04-2017	A	Hydrocotyle	22
SMR	I35	10-2017	A	Hydrocotyle	3
SMR	I35	04-2018	A	Hydrocotyle	1
SMR	I35	10-2018	A	Hydrocotyle	4
SMR	I35	04-2019	A	Hydrocotyle	11
SMR	I35	10-2019	A	Hydrocotyle	29
SMR	I35	04-2020	A	Hydrocotyle	14
SMR	I35	10-2020	A	Hydrocotyle	17
SMR	I35	04-2021	A	Hydrocotyle	7
SMR	I35	10-2021	A	Hydrocotyle	0
SMR	I35	04-2013	A	Hygrophila	16
SMR	I35	10-2013	A	Hygrophila	47
SMR	I35	04-2014	A	Hygrophila	512
SMR	I35	10-2014	A	Hygrophila	406
SMR	I35	04-2015	A	Hygrophila	349
SMR	I35	10-2015	A	Hygrophila	523
SMR	I35	04-2016	A	Hygrophila	419
SMR	I35	10-2016	A	Hygrophila	253
SMR	I35	04-2017	A	Hygrophila	398
SMR	I35	10-2017	A	Hygrophila	548
SMR	I35	04-2018	A	Hygrophila	505
SMR	I35	10-2018	A	Hygrophila	800
SMR	I35	04-2019	A	Hygrophila	675
SMR	I35	10-2019	A	Hygrophila	563
SMR	I35	04-2020	A	Hygrophila	813
SMR	I35	10-2020	A	Hygrophila	438
SMR	I35	04-2021	A	Hygrophila	433
SMR	I35	10-2021	A	Hygrophila	491
SMR	I35	04-2013	A	Ludwigia	0
SMR	I35	10-2013	A	Ludwigia	0
SMR	I35	04-2014	A	Ludwigia	67
SMR	I35	10-2014	A	Ludwigia	46
SMR	I35	04-2015	A	Ludwigia	19
SMR	I35	10-2015	A	Ludwigia	73
SMR	I35	04-2016	A	Ludwigia	57
SMR	I35	10-2016	A	Ludwigia	103
SMR	I35	04-2017	A	Ludwigia	152
SMR	I35	10-2017	A	Ludwigia	258
SMR	I35	04-2018	A	Ludwigia	271
SMR	I35	10-2018	A	Ludwigia	146
SMR	I35	04-2019	A	Ludwigia	190
SMR	I35	10-2019	A	Ludwigia	70
SMR	I35	04-2020	A	Ludwigia	75
SMR	I35	10-2020	A	Ludwigia	58
SMR	I35	04-2021	A	Ludwigia	63
SMR	I35	10-2021	A	Ludwigia	69
SMR	I35	04-2013	A	Other	12
SMR	I35	10-2013	A	Other	87
SMR	I35	04-2014	A	Other	120
SMR	I35	10-2014	A	Other	97
SMR	I35	04-2015	A	Other	109
SMR	I35	10-2015	A	Other	48
SMR	I35	04-2016	A	Other	50
SMR	I35	10-2016	A	Other	37
SMR	I35	04-2017	A	Other	19
SMR	I35	10-2017	A	Other	0
SMR	I35	04-2018	A	Other	0
SMR	I35	10-2018	A	Other	0
SMR	I35	04-2019	A	Other	0
SMR	I35	10-2019	A	Other	0
